model,k,SSE,Silhouette,PCA_VarianceRetained
kmeans_scratch,2,141588.46309262002,0.5644026879815416,0.5877140659192702
bisecting_scratch,2,141588.46309262002,0.5644026879815416,0.5877140659192702
sklearn_kmeanspp,2,141588.46309262014,0.5644026879815416,0.5877140659192702
kmeans_scratch,3,94736.72326371146,0.5885550053166729,0.5877140659192702
bisecting_scratch,3,94736.72326371146,0.5885550053166729,0.5877140659192702
sklearn_kmeanspp,3,94736.73396053576,0.5885550053166729,0.5877140659192702
kmeans_scratch,4,70759.76533605861,0.6081380600964391,0.5877140659192702
bisecting_scratch,4,54167.392683780075,0.6369183886930971,0.5877140659192702
sklearn_kmeanspp,4,54165.91451576371,0.6368751916105296,0.5877140659192702
kmeans_scratch,5,68660.04221435772,0.5983015949839517,0.5877140659192702
bisecting_scratch,5,30845.54150100737,0.6770357726980193,0.5877140659192702
sklearn_kmeanspp,5,30210.92940195035,0.6784020010720748,0.5877140659192702
kmeans_scratch,6,24425.65760134212,0.6616989619258219,0.5877140659192702
bisecting_scratch,6,25066.535182309657,0.6607466389846304,0.5877140659192702
sklearn_kmeanspp,6,24425.657601342133,0.6616989619258219,0.5877140659192702
kmeans_scratch,7,23093.17421992004,0.5774866787354368,0.5877140659192702
bisecting_scratch,7,21444.10025548607,0.6332128476389666,0.5877140659192702
sklearn_kmeanspp,7,20751.297593205018,0.6344373350512931,0.5877140659192702
kmeans_scratch,8,21608.31580551223,0.4839137465088292,0.5877140659192702
bisecting_scratch,8,19115.873285663765,0.6259878346792754,0.5877140659192702
sklearn_kmeanspp,8,18801.23948139197,0.6271447927059911,0.5877140659192702
kmeans_scratch,9,21378.575871497254,0.44410414251949104,0.5877140659192702
bisecting_scratch,9,17200.50477564115,0.61751998022214,0.5877140659192702
sklearn_kmeanspp,9,17315.61015650523,0.5266882087004031,0.5877140659192702
kmeans_scratch,10,17054.923348870056,0.4302629338242117,0.5877140659192702
bisecting_scratch,10,15936.308040641354,0.594213314687704,0.5877140659192702
sklearn_kmeanspp,10,15618.88959926772,0.5926381011378379,0.5877140659192702
